amfi_code,cagr_rank,sharpe_rank,alpha_rank,beta_rank,mdd_rank,cagr_rank_score,sharpe_rank_score,alpha_rank_score,beta_rank_score,mdd_rank_score,total_score,scheme_name,fund_house
102887,20.0,22.0,21.0,36.0,11.0,52.5,47.5,50.0,12.5,75.0,47.0,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
118633,22.0,21.0,22.0,30.0,15.0,47.5,50.0,47.5,27.500000000000004,65.0,46.875,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
119093,28.0,28.0,28.0,17.0,10.0,32.5,32.5,32.5,60.0,77.5,41.125,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
120841,24.0,24.0,25.0,37.0,17.0,42.5,42.5,40.0,10.0,60.0,38.875,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
149322,25.0,25.0,24.0,32.0,26.0,40.0,40.0,42.5,22.5,37.5,37.625,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
120842,31.0,29.0,29.0,24.0,8.0,25.0,30.0,30.0,42.5,82.5,35.625,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
119092,33.0,30.0,30.0,8.0,25.0,20.0,27.500000000000004,27.500000000000004,82.5,40.0,34.75,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
100016,37.0,34.0,39.0,6.0,7.0,10.0,17.5,5.0,87.5,85.0,30.0,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
102886,40.0,33.0,40.0,1.0,6.0,2.5,20.0,2.5,100.0,87.5,30.0,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
119599,38.0,31.0,36.0,27.0,1.0,7.5,25.0,12.5,35.0,100.0,26.25,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
120507,29.0,38.0,31.0,21.0,40.0,30.0,7.5,25.0,50.0,2.5,23.625,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
119095,39.0,32.0,37.0,31.0,2.0,5.0,22.5,10.0,25.0,97.5,22.625,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
120844,30.0,39.0,32.0,22.0,39.0,27.500000000000004,5.0,22.5,47.5,5.0,21.625,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
118636,35.0,36.0,35.0,16.0,35.0,15.0,12.5,15.0,62.5,15.0,21.5,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
100025,36.0,37.0,38.0,11.0,37.0,12.5,10.0,7.5,75.0,10.0,20.0,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
119120,34.0,35.0,34.0,29.0,36.0,17.5,15.0,17.5,30.0,12.5,18.25,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
101208,32.0,40.0,33.0,25.0,38.0,22.5,2.5,20.0,40.0,7.5,18.125,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
